zmiana,data,ognisko_typ,liczba
1,2020-10-13,domem pomocy społecznej,98
1,2020-10-13,szpitalem,59
1,2020-10-13,specjalnym ośrodkiem szkolno,7
1,2020-10-13,podmiotem leczniczym,3
1,2020-10-13,przedszkolem,4
1,2020-10-13,szkołą,10
1,2020-10-13,zakładem pracy,8
1,2020-10-13,zakładem opiekuńczo,29
1,2020-10-13,zakładem pracy,3
1,2020-10-13,ośrodkiem pomocy,9
1,2020-10-13,żłobkiem i przedszkolem,2
1,2020-10-13,szkołą,7
1,2020-10-13,domem pomocy społecznej,2
1,2020-10-13,zakładem pracy,10
1,2020-10-13,hospicjum,4
1,2020-10-13,przychodnią,5
1,2020-10-13,domem pomocy społecznej,17
1,2020-10-13,drużyną sportow,8
1,2020-10-13,zakładem pracy,22
1,2020-10-13,zakładem pracy,2
1,2020-10-13,zakładem pracy,2
1,2020-10-13,szkołą,2
1,2020-10-13,zakładem pracy,4
1,2020-10-13,domem pomocy,20
1,2020-10-13,zakładem pracy,6
1,2020-10-13,zakładem pracy,10
1,2020-10-13,szkołą,12
1,2020-10-13,szpitalem,7
1,2020-10-13,szpitalem,6
1,2020-10-13,zakładem pracy,10
1,2020-10-13,domem opieki,4
1,2020-10-13,zakładem pracy,11
1,2020-10-13,zakładem pracy,4
1,2020-10-13,szkołą,6
1,2020-10-13,szpitalem,14
1,2020-10-13,szkołą,2
1,2020-10-13,domem opieki,32
1,2020-10-13,szkołą,2
1,2020-10-13,szpitalem,16
1,2020-10-13,zakładem pracy,12
1,2020-10-13,zakładem pracy,4
1,2020-10-13,zakładem pracy,2
1,2020-10-13,zakładem pracy,5
1,2020-10-13,zakładem pracy,2
1,2020-10-13,szkołą,5
1,2020-10-13,przedszkolem,11
1,2020-10-13,szpitalem,8
1,2020-10-13,przedszkolem,4
1,2020-10-13,zakładem pracy,3
1,2020-10-13,szpitalem,2
1,2020-10-13,przychodnią,2
1,2020-10-13,stacją dializ,11
1,2020-10-13,przychodnią,6
1,2020-10-13,zakładem pracy,2
1,2020-10-13,zol,2
1,2020-10-13,zakładem pracy,3
1,2020-10-13,zakładem pracy,3
1,2020-10-13,drużyną sportową,5
1,2020-10-13,zol,3
1,2020-10-13,szkołą,7
1,2020-10-13,zakładem pracy,3
1,2020-10-13,seminarium duchownym,21
1,2020-10-13,domem dziecka,2
1,2020-10-13,szkołą,2
1,2020-10-13,szkołą,2
1,2020-10-13,domem opieki społecznej,2
1,2020-10-13,szpitalem,3
1,2020-10-13,szkołą,3
1,2020-10-13,szpitalem,2
1,2020-10-13,domem opieki społecznej,15
1,2020-10-13,zakładem pracy,5
1,2020-10-13,zakładem pracy,3
1,2020-10-13,przedszkolem,3
1,2020-10-13,przedszkolem,2
1,2020-10-13,szkołą,3
1,2020-10-13,zakładem pracy,4
1,2020-10-13,zakładem pracy,2
1,2020-10-13,zakładem pracy,5
1,2020-10-13,szkołą,6
1,2020-10-13,przedszkolem,4
1,2020-10-13,ośrodkiem wychowawczym,4
1,2020-10-13,stacją dializ,3
1,2020-10-13,domem opieki,2
1,2020-10-13,zakładem pracy,5
1,2020-10-13,szkołą,4
1,2020-10-13,zakładem pracy,2
1,2020-10-13,zakładem pracy,2
1,2020-10-13,domem pomocy społecznej,7
1,2020-10-13,zakładem pracy,2
1,2020-10-13,szkołą,9
1,2020-10-12,"weselem w powiecie gdańskim, szkołą w powiecie kościerskim, zakładem pracy w powiecie kartuskim",28
1,2020-10-12,dps,91
1,2020-10-12,imprezami urodzinowymi (uczniowie lo),33
1,2020-10-12,szpitalem,13
1,2020-10-12,szkołą i kościołem,84
1,2020-10-12,szpitalem rehabilitacyjnym,79
1,2020-10-12,zakładem pracy,6
1,2020-10-12,terapią,4
1,2020-10-12,zakładem pracy,3
1,2020-10-12,zakładem opiekuńczo,35
1,2020-10-12,zakładem pracy,21
1,2020-10-12,zakładem pracy,13
1,2020-10-12,szpitalem,20
1,2020-10-12,szkołą i przedszkolem,18
1,2020-10-12,szpitalem,4
1,2020-10-12,przedszkolem,11
1,2020-10-12,szkołą,11
1,2020-10-12,wycieczką,33
1,2020-10-12,szkołą,8
1,2020-10-12,szkołą,3
1,2020-10-12,szkołą,7
1,2020-10-12,szpitalem,12
1,2020-10-12,zakładem pracy,3
1,2020-10-12,zakładem pracy,5
1,2020-10-12,zespołem szkół,3
1,2020-10-12,zespołem szkół,7
1,2020-10-12,szkołą,2
1,2020-10-12,zakładem pracy,15
1,2020-10-12,szkołą,4
1,2020-10-12,weselem i przedszkolem,12
1,2020-10-12,zakładem pracy,5
1,2020-10-12,szkołą,8
1,2020-10-12,szpitalem,4
1,2020-10-12,zakładem pracy w gdyni,10
1,2020-10-12,zakładem pracy w gdyni,3
1,2020-10-12,przychodnią,3
1,2020-10-12,przedszkolem,4
1,2020-10-12,domem pomocy społecznej,34
1,2020-10-12,zakładem pracy,3
1,2020-10-12,wycieczką,16
1,2020-10-12,szpitalem,5
1,2020-10-12,zakładem pracy,6
1,2020-10-12,zakładem pracy,16
1,2020-10-12,szpitalem,6
1,2020-10-12,2 zakładami pracy,15
1,2020-10-12,szkołą,10
1,2020-10-12,wycieczką,75
1,2020-10-12,zakładem pracy,9
1,2020-10-12,szkołą,5
1,2020-10-12,zespołem kształcenia,22
1,2020-10-12,szkołą,5
1,2020-10-12,szpitalem,73
1,2020-10-12,domem pomocy społecznej,21
1,2020-10-12,przedszkolem,7
1,2020-10-12,zakładem pracy,3
1,2020-10-12,przedszkolem,4
1,2020-10-12,domem pomocy społecznej,98
1,2020-10-12,szpitalem,59
1,2020-10-12,specjalnym ośrodkiem szkolno,7
1,2020-10-12,podmiotem leczniczym,3
1,2020-10-12,przedszkolem,4
1,2020-10-12,szkołą,10
1,2020-10-12,zakładem pracy,8
1,2020-10-12,zakładem opiekuńczo,29
1,2020-10-12,zakładem pracy,3
1,2020-10-12,ośrodkiem pomocy,9
1,2020-10-12,żłobkiem i przedszkolem,2
1,2020-10-12,szkołą,7
1,2020-10-12,domem pomocy społecznej,2
1,2020-10-12,zakładem pracy,10
1,2020-10-12,hospicjum,4
1,2020-10-12,przychodnią,5
1,2020-10-12,domem pomocy społecznej,17
1,2020-10-12,drużyną sportow,8
1,2020-10-12,zakładem pracy,22
1,2020-10-12,zakładem pracy,2
1,2020-10-12,zakładem pracy,2
1,2020-10-12,szkołą,2
1,2020-10-12,zakładem pracy,4
1,2020-10-12,domem pomocy,19
1,2020-10-12,zakładem pracy,6
1,2020-10-12,zakładem pracy,10
1,2020-10-12,szkołą,12
1,2020-10-12,szpitalem,7
1,2020-10-12,szpitalem,6
1,2020-10-12,zakładem pracy,10
1,2020-10-12,domem opieki,4
1,2020-10-12,zakładem pracy,11
1,2020-10-12,zakładem pracy,4
1,2020-10-12,szkołą,6
1,2020-10-12,szpitalem,11
1,2020-10-12,szkołą,2
1,2020-10-12,domem opieki,31
1,2020-10-12,szkołą,2
1,2020-10-12,szpitalem,16
1,2020-10-12,zakładem pracy,12
1,2020-10-12,zakładem pracy,4
1,2020-10-12,zakładem pracy,2
1,2020-10-12,zakładem pracy,5
1,2020-10-12,zakładem pracy,2
1,2020-10-12,szkołą,5
1,2020-10-12,przedszkolem,11
1,2020-10-12,szpitalem,8
1,2020-10-12,przedszkolem,4
1,2020-10-12,zakładem pracy,3
1,2020-10-12,szpitalem,2
1,2020-10-12,przychodnią,2
1,2020-10-12,stacją dializ,9
1,2020-10-12,przychodnią,6
1,2020-10-12,zakładem prac,2
1,2020-10-12,zo,2
1,2020-10-12,zakładem prac,3
1,2020-10-12,zakładem prac,3
1,2020-10-12,drużyną sportow,4
1,2020-10-12,zo,3
1,2020-10-12,szkoł,7
1,2020-10-12,zakładem prac,3
1,2020-10-12,seminarium duchowny,19
1,2020-10-12,domem dzieck,2
1,2020-10-12,szkoł,2
1,2020-10-12,szkoł,2
1,2020-10-12,domem opieki społeczne,2
1,2020-10-12,szpitale,3
1,2020-10-12,szkoł,3
1,2020-10-12,szpitale,2
1,2020-10-12,domem opieki społeczne,14
1,2020-10-12,zakładem prac,5
1,2020-10-12,zakładem prac,3
1,2020-10-12,przedszkole,3
1,2020-10-12,przedszkole,2
1,2020-10-12,szkoł,3
1,2020-10-12,zakładem prac,4
1,2020-10-12,zakładem prac,2
1,2020-10-12,zakładem prac,4
1,2020-10-12,szkoł,6
1,2020-10-12,przedszkole,3
1,2020-10-12,ośrodkiem wychowawczy,4
1,2020-10-12,stacją diali,3
1,2020-10-12,domem opiek,2
1,2020-10-12,zakładem prac,4
1,2020-10-12,szkoł,2
1,2020-10-11,"weselem w powiecie gdańskim, szkołą w powiecie kościerskim, zakładem pracy w powiecie kartuskim",28
1,2020-10-11,dps,91
1,2020-10-11,imprezami urodzinowymi (uczniowie lo),33
1,2020-10-11,szpitalem,13
1,2020-10-11,szkołą i kościołem,84
1,2020-10-11,szpitalem rehabilitacyjnym,79
1,2020-10-11,zakładem pracy,6
1,2020-10-11,terapią,4
1,2020-10-11,zakładem pracy,3
1,2020-10-11,zakładem opiekuńczo,35
1,2020-10-11,zakładem pracy,21
1,2020-10-11,zakładem pracy,13
1,2020-10-11,szpitalem,20
1,2020-10-11,szkołą i przedszkolem,18
1,2020-10-11,szpitalem,4
1,2020-10-11,przedszkolem,11
1,2020-10-11,szkołą,11
1,2020-10-11,wycieczką,33
1,2020-10-11,szkołą,8
1,2020-10-11,szkołą,3
1,2020-10-11,szkołą,7
1,2020-10-11,szpitalem,12
1,2020-10-11,zakładem pracy,3
1,2020-10-11,zakładem pracy,5
1,2020-10-11,zespołem szkół,3
1,2020-10-11,zespołem szkół,7
1,2020-10-11,szkołą,2
1,2020-10-11,zakładem pracy,15
1,2020-10-11,szkołą,4
1,2020-10-11,weselem i przedszkolem,12
1,2020-10-11,zakładem pracy,5
1,2020-10-11,szkołą,8
1,2020-10-11,szpitalem,3
1,2020-10-11,zakładem pracy w gdyni,10
1,2020-10-11,zakładem pracy w gdyni,3
1,2020-10-11,przychodnią,3
1,2020-10-11,przedszkolem,4
1,2020-10-11,domem pomocy społecznej,34
1,2020-10-11,zakładem pracy,3
1,2020-10-11,wycieczką,16
1,2020-10-11,szpitalem,5
1,2020-10-11,zakładem pracy,6
1,2020-10-11,zakładem pracy,16
1,2020-10-11,szpitalem,6
1,2020-10-11,2 zakładami pracy,15
1,2020-10-11,szkołą,10
1,2020-10-11,wycieczką,75
1,2020-10-11,zakładem pracy,9
1,2020-10-11,szkołą,5
1,2020-10-11,zespołem kształcenia,22
1,2020-10-11,szkołą,5
1,2020-10-11,szpitalem,71
1,2020-10-11,domem pomocy społecznej,21
1,2020-10-11,przedszkolem,7
1,2020-10-11,zakładem pracy,3
1,2020-10-11,przedszkolem,4
1,2020-10-11,domem pomocy społecznej,89
1,2020-10-11,szpitalem,57
1,2020-10-11,specjalnym ośrodkiem szkolno,7
1,2020-10-11,podmiotem leczniczym,3
1,2020-10-11,przedszkolem,4
1,2020-10-11,szkołą,10
1,2020-10-11,zakładem pracy,8
1,2020-10-11,zakładem opiekuńczo,29
1,2020-10-11,zakładem pracy,3
1,2020-10-11,ośrodkiem pomocy,9
1,2020-10-11,żłobkiem i przedszkolem,2
1,2020-10-11,szkołą,7
1,2020-10-11,domem pomocy społecznej,2
1,2020-10-11,zakładem pracy,10
1,2020-10-11,hospicjum,4
1,2020-10-11,przychodnią,5
1,2020-10-11,domem pomocy społecznej,17
1,2020-10-11,drużyną sportow,8
1,2020-10-11,zakładem pracy,21
1,2020-10-11,zakładem pracy,2
1,2020-10-11,zakładem pracy,2
1,2020-10-11,szkołą,2
1,2020-10-11,zakładem pracy,4
1,2020-10-11,domem pomocy,15
1,2020-10-11,zakładem pracy,6
1,2020-10-11,zakładem pracy,10
1,2020-10-11,szkołą,12
1,2020-10-11,szpitalem,7
1,2020-10-11,szpitalem,6
1,2020-10-11,zakładem pracy,10
1,2020-10-11,domem opieki,4
1,2020-10-11,zakładem pracy,11
1,2020-10-11,zakładem pracy,4
1,2020-10-11,szkołą,6
1,2020-10-11,szpitalem,10
1,2020-10-11,szkołą,2
1,2020-10-11,domem opieki,31
1,2020-10-11,szkołą,2
1,2020-10-11,szpitalem,16
1,2020-10-11,zakładem pracy,6
1,2020-10-11,zakładem pracy,4
1,2020-10-11,zakładem pracy,2
1,2020-10-11,zakładem pracy,5
1,2020-10-11,zakładem pracy,2
1,2020-10-11,szkołą,5
1,2020-10-11,przedszkolem,4
1,2020-10-11,szpitalem,8
1,2020-10-11,przedszkolem,4
1,2020-10-11,zakładem pracy,3
1,2020-10-11,szpitalem,2
1,2020-10-11,przychodnią,2
1,2020-10-11,stacją dializ,6
1,2020-10-11,przychodnią,6
1,2020-10-11,zakładem prac,2
1,2020-10-11,zo,2
1,2020-10-11,zakładem prac,3
1,2020-10-11,zakładem prac,3
1,2020-10-11,drużyną sportow,3
1,2020-10-11,zo,3
1,2020-10-11,szkoł,7
1,2020-10-11,zakładem prac,2
1,2020-10-11,seminarium duchowny,19
1,2020-10-11,domem dzieck,2
1,2020-10-11,szkoł,2
1,2020-10-11,szkoł,2
1,2020-10-11,domem opieki społeczne,2
1,2020-10-11,szpitale,2
1,2020-10-11,szkoł,3
1,2020-10-11,szpitale,2
1,2020-10-11,domem opieki społeczne,14
1,2020-10-11,zakładem prac,2
1,2020-10-11,zakładem prac,2
1,2020-10-11,przedszkole,3
1,2020-10-11,przedszkole,2
1,2020-10-11,szkoł,3
1,2020-10-11,zakładem prac,3
1,2020-10-10,"weselem w powiecie gdańskim, szkołą w powiecie kościerskim, zakładem pracy w powiecie kartuskim",28
1,2020-10-10,dps,91
1,2020-10-10,imprezami urodzinowymi (uczniowie lo),33
